start_date;end_date;week_number
2025-01-06;2025-01-12;2
2025-01-13;2025-01-19;3
2025-01-20;2025-01-26;4
2025-01-27;2025-02-02;5
2025-02-03;2025-02-09;6
2025-02-10;2025-02-16;7
2025-02-17;2025-02-23;8
2025-02-24;2025-03-02;9
2025-03-03;2025-03-09;10
2025-03-10;2025-03-16;11
2025-03-17;2025-03-23;12
2025-03-24;2025-03-30;13
2025-03-31;2025-04-06;14
2025-04-07;2025-04-13;15
2025-04-14;2025-04-20;16
2025-04-21;2025-04-27;17
2025-04-28;2025-05-04;18
2025-05-05;2025-05-11;19
2025-05-12;2025-05-18;20
2025-05-19;2025-05-25;21
2025-05-26;2025-06-01;22
2025-06-02;2025-06-08;23
2025-06-09;2025-06-15;24
2025-06-16;2025-06-22;25
2025-06-23;2025-06-29;26
2025-06-30;2025-07-06;27
2025-07-07;2025-07-13;28
2025-07-14;2025-07-20;29
2025-07-21;2025-07-27;30
2025-07-28;2025-08-03;31
2025-08-04;2025-08-10;32
2025-08-11;2025-08-17;33
2025-08-18;2025-08-24;34
2025-08-25;2025-08-31;35
2025-09-01;2025-09-07;36
2025-09-08;2025-09-14;37
2025-09-15;2025-09-21;38
2025-09-22;2025-09-28;39
2025-09-29;2025-10-05;40
2025-10-06;2025-10-12;41
2025-10-13;2025-10-19;42
2025-10-20;2025-10-26;43
2025-10-27;2025-11-02;44
2025-11-03;2025-11-09;45
2025-11-10;2025-11-16;46
2025-11-17;2025-11-23;47
2025-11-24;2025-11-30;48
2025-12-01;2025-12-07;49
2025-12-08;2025-12-14;50
2025-12-15;2025-12-21;51
2025-12-22;2025-12-28;52
2025-12-29;2026-01-04;1
2026-01-05;2026-01-11;2
2026-01-12;2026-01-18;3
2026-01-19;2026-01-25;4
2026-01-26;2026-02-01;5
2026-02-02;2026-02-08;6
2026-02-09;2026-02-15;7
2026-02-16;2026-02-22;8
2026-02-23;2026-02-29;9
2026-03-02;2026-03-08;10
2026-03-09;2026-03-15;11
2026-03-16;2026-03-22;12
2026-03-23;2026-03-29;13
2026-03-30;2026-04-05;14
2026-04-06;2026-04-12;15
2026-04-13;2026-04-19;16
2026-04-20;2026-04-26;17
2026-04-27;2026-05-03;18
2026-05-04;2026-05-10;19
2026-05-11;2026-05-17;20
2026-05-18;2026-05-24;21
2026-05-25;2026-05-31;22
2026-06-01;2026-06-07;23
2026-06-08;2026-06-14;24
2026-06-15;2026-06-21;25
2026-06-22;2026-06-28;26
2026-06-29;2026-07-05;27
2026-07-06;2026-07-12;28
2026-07-13;2026-07-19;29
2026-07-20;2026-07-26;30
2026-07-27;2026-08-02;31
2026-08-03;2026-08-09;32
2026-08-10;2026-08-16;33
2026-08-17;2026-08-23;34
2026-08-24;2026-08-30;35
2026-08-31;2026-09-06;36
2026-09-07;2026-09-13;37
2026-09-14;2026-09-20;38
2026-09-21;2026-09-27;39
2026-09-28;2026-10-04;40
2026-10-05;2026-10-11;41
2026-10-12;2026-10-18;42
2026-10-19;2026-10-25;43
2026-10-26;2026-11-01;44
2026-11-02;2026-11-08;45
2026-11-09;2026-11-15;46
2026-11-16;2026-11-22;47
2026-11-23;2026-11-29;48
2026-11-30;2026-12-06;49
2026-12-07;2026-12-13;50
2026-12-14;2026-12-20;51
2026-12-21;2026-12-27;52
2026-12-28;2027-01-03;53
2027-01-04;2027-01-10;1
2027-01-11;2027-01-17;2
2027-01-18;2027-01-24;3
2027-01-25;2027-01-31;4
2027-02-01;2027-02-07;5
2027-02-08;2027-02-14;6
2027-02-15;2027-02-21;7
2027-02-22;2027-02-28;8
2027-03-01;2027-03-07;9
2027-03-08;2027-03-14;10
2027-03-15;2027-03-21;11
2027-03-22;2027-03-28;12
2027-03-29;2027-04-04;13
2027-04-05;2027-04-11;14
2027-04-12;2027-04-18;15
2027-04-19;2027-04-25;16
2027-04-26;2027-05-02;17
2027-05-03;2027-05-09;18
2027-05-10;2027-05-16;19
2027-05-17;2027-05-23;20
2027-05-24;2027-05-30;21
2027-05-31;2027-06-06;22
2027-06-07;2027-06-13;23
2027-06-14;2027-06-20;24
2027-06-21;2027-06-27;25
2027-06-28;2027-07-04;26
2027-07-05;2027-07-11;27
2027-07-12;2027-07-18;28
2027-07-19;2027-07-25;29
2027-07-26;2027-08-01;30
2027-08-02;2027-08-08;31
2027-08-09;2027-08-15;32
2027-08-16;2027-08-22;33
2027-08-23;2027-08-29;34
2027-08-30;2027-09-05;35
2027-09-06;2027-09-12;36
2027-09-13;2027-09-19;37
2027-09-20;2027-09-26;38
2027-09-27;2027-10-03;39
2027-10-04;2027-10-10;40
2027-10-11;2027-10-17;41
2027-10-18;2027-10-24;42
2027-10-25;2027-10-31;43
2027-11-01;2027-11-07;44
2027-11-08;2027-11-14;45
2027-11-15;2027-11-21;46
2027-11-22;2027-11-28;47
2027-11-29;2027-12-05;48
2027-12-06;2027-12-12;49
2027-12-13;2027-12-19;50
2027-12-20;2027-12-26;51
2027-12-27;2028-01-02;52
