year;week;manual_value;modality;type_modality
2021;52;0;DENSITOMETER;DEFAULT
2022;1;17;DENSITOMETER;DEFAULT
2022;2;1026;DENSITOMETER;DEFAULT
2022;3;910;DENSITOMETER;DEFAULT
2022;4;679;DENSITOMETER;DEFAULT
2022;5;571;DENSITOMETER;DEFAULT
2022;6;698;DENSITOMETER;DEFAULT
2022;7;637;DENSITOMETER;DEFAULT
2022;8;556;DENSITOMETER;DEFAULT
2022;9;1050;DENSITOMETER;DEFAULT
2022;10;691;DENSITOMETER;DEFAULT
2022;11;1209;DENSITOMETER;DEFAULT
2022;12;1248;DENSITOMETER;DEFAULT
2022;13;1418;DENSITOMETER;DEFAULT
2022;14;1370;DENSITOMETER;DEFAULT
2022;15;1436;DENSITOMETER;DEFAULT
2022;16;1314;DENSITOMETER;DEFAULT
2022;17;1172;DENSITOMETER;DEFAULT
2022;18;933;DENSITOMETER;DEFAULT
2022;19;990;DENSITOMETER;DEFAULT
2022;20;1203;DENSITOMETER;DEFAULT
2022;21;1176;DENSITOMETER;DEFAULT
2022;22;1154;DENSITOMETER;DEFAULT
2022;23;1112;DENSITOMETER;DEFAULT
2022;24;1013;DENSITOMETER;DEFAULT
2022;25;1127;DENSITOMETER;DEFAULT
2022;26;963;DENSITOMETER;DEFAULT
2022;27;1034;DENSITOMETER;DEFAULT
2022;28;1026;DENSITOMETER;DEFAULT
2022;29;1050;DENSITOMETER;DEFAULT
2022;30;975;DENSITOMETER;DEFAULT
2022;31;934;DENSITOMETER;DEFAULT
2022;32;899;DENSITOMETER;DEFAULT
2022;33;951;DENSITOMETER;DEFAULT
2022;34;1059;DENSITOMETER;DEFAULT
2022;35;896;DENSITOMETER;DEFAULT
2022;36;974;DENSITOMETER;DEFAULT
2022;37;1020;DENSITOMETER;DEFAULT
2022;38;1219;DENSITOMETER;DEFAULT
2022;39;1020;DENSITOMETER;DEFAULT
2022;40;1230;DENSITOMETER;DEFAULT
2022;41;1055;DENSITOMETER;DEFAULT
2022;42;1124;DENSITOMETER;DEFAULT
2022;43;1199;DENSITOMETER;DEFAULT
2022;44;936;DENSITOMETER;DEFAULT
2022;45;1168;DENSITOMETER;DEFAULT
2022;46;1367;DENSITOMETER;DEFAULT
2022;47;1523;DENSITOMETER;DEFAULT
2022;48;1428;DENSITOMETER;DEFAULT
2022;49;1525;DENSITOMETER;DEFAULT
2022;50;1419;DENSITOMETER;DEFAULT
2022;51;1504;DENSITOMETER;DEFAULT
2022;52;1302;DENSITOMETER;DEFAULT
2023;1;266;DENSITOMETER;DEFAULT
2023;2;1479;DENSITOMETER;DEFAULT
2023;3;1470;DENSITOMETER;DEFAULT
2023;4;1552;DENSITOMETER;DEFAULT
2023;5;1598;DENSITOMETER;DEFAULT
2023;6;1783;DENSITOMETER;DEFAULT
2023;7;1648;DENSITOMETER;DEFAULT
2023;8;1119;DENSITOMETER;DEFAULT
2023;9;1718;DENSITOMETER;DEFAULT
2023;10;1316;DENSITOMETER;DEFAULT
2023;11;1691;DENSITOMETER;DEFAULT
2023;12;1701;DENSITOMETER;DEFAULT
2023;13;1656;DENSITOMETER;DEFAULT
2023;14;1828;DENSITOMETER;DEFAULT
2023;15;1837;DENSITOMETER;DEFAULT
2023;16;1801;DENSITOMETER;DEFAULT
2023;17;1780;DENSITOMETER;DEFAULT
2023;18;1545;DENSITOMETER;DEFAULT
2023;19;1216;DENSITOMETER;DEFAULT
2023;20;1726;DENSITOMETER;DEFAULT
2023;21;1799;DENSITOMETER;DEFAULT
2023;22;1801;DENSITOMETER;DEFAULT
2023;23;1853;DENSITOMETER;DEFAULT
2023;24;1671;DENSITOMETER;DEFAULT
2023;25;1810;DENSITOMETER;DEFAULT
2023;26;1854;DENSITOMETER;DEFAULT
2023;27;1414;DENSITOMETER;DEFAULT
2023;28;1456;DENSITOMETER;DEFAULT
2023;29;1425;DENSITOMETER;DEFAULT
2023;30;1499;DENSITOMETER;DEFAULT
2023;31;1500;DENSITOMETER;DEFAULT
2023;32;1539;DENSITOMETER;DEFAULT
2023;33;1433;DENSITOMETER;DEFAULT
2023;34;1480;DENSITOMETER;DEFAULT
2023;35;1487;DENSITOMETER;DEFAULT
2023;36;1481;DENSITOMETER;DEFAULT
2023;37;1474;DENSITOMETER;DEFAULT
2023;38;1158;DENSITOMETER;DEFAULT
2023;39;1633;DENSITOMETER;DEFAULT
2023;40;1625;DENSITOMETER;DEFAULT
2023;41;1722;DENSITOMETER;DEFAULT
2023;42;1807;DENSITOMETER;DEFAULT
2023;43;1828;DENSITOMETER;DEFAULT
2023;44;1810;DENSITOMETER;DEFAULT
2023;45;1956;DENSITOMETER;DEFAULT
2023;46;1995;DENSITOMETER;DEFAULT
2023;47;2002;DENSITOMETER;DEFAULT
2023;48;1885;DENSITOMETER;DEFAULT
2023;49;1902;DENSITOMETER;DEFAULT
2023;50;1895;DENSITOMETER;DEFAULT
2023;51;1726;DENSITOMETER;DEFAULT
2023;52;1294;DENSITOMETER;DEFAULT
2024;1;84;DENSITOMETER;DEFAULT
2024;2;1427;DENSITOMETER;DEFAULT
2024;3;1816;DENSITOMETER;DEFAULT
2024;4;2102;DENSITOMETER;DEFAULT
