year;week;manual_value;modality;type_modality
2021;52;0;FLG;DEFAULT
2022;1;392;FLG;DEFAULT
2022;2;22626;FLG;DEFAULT
2022;3;20496;FLG;DEFAULT
2022;4;15227;FLG;DEFAULT
2022;5;12586;FLG;DEFAULT
2022;6;14693;FLG;DEFAULT
2022;7;18370;FLG;DEFAULT
2022;8;19250;FLG;DEFAULT
2022;9;29023;FLG;DEFAULT
2022;10;17540;FLG;DEFAULT
2022;11;29958;FLG;DEFAULT
2022;12;30728;FLG;DEFAULT
2022;13;29045;FLG;DEFAULT
2022;14;30613;FLG;DEFAULT
2022;15;31419;FLG;DEFAULT
2022;16;29474;FLG;DEFAULT
2022;17;28535;FLG;DEFAULT
2022;18;16620;FLG;DEFAULT
2022;19;19404;FLG;DEFAULT
2022;20;28694;FLG;DEFAULT
2022;21;28203;FLG;DEFAULT
2022;22;27523;FLG;DEFAULT
2022;23;26626;FLG;DEFAULT
2022;24;21108;FLG;DEFAULT
2022;25;25082;FLG;DEFAULT
2022;26;22016;FLG;DEFAULT
2022;27;18322;FLG;DEFAULT
2022;28;18737;FLG;DEFAULT
2022;29;17634;FLG;DEFAULT
2022;30;17384;FLG;DEFAULT
2022;31;18357;FLG;DEFAULT
2022;32;19284;FLG;DEFAULT
2022;33;19123;FLG;DEFAULT
2022;34;20380;FLG;DEFAULT
2022;35;19369;FLG;DEFAULT
2022;36;18481;FLG;DEFAULT
2022;37;18390;FLG;DEFAULT
2022;38;20770;FLG;DEFAULT
2022;39;19534;FLG;DEFAULT
2022;40;20013;FLG;DEFAULT
2022;41;20753;FLG;DEFAULT
2022;42;21207;FLG;DEFAULT
2022;43;21724;FLG;DEFAULT
2022;44;19405;FLG;DEFAULT
2022;45;23857;FLG;DEFAULT
2022;46;25216;FLG;DEFAULT
2022;47;23220;FLG;DEFAULT
2022;48;21911;FLG;DEFAULT
2022;49;19742;FLG;DEFAULT
2022;50;18626;FLG;DEFAULT
2022;51;16901;FLG;DEFAULT
2022;52;13496;FLG;DEFAULT
2023;1;573;FLG;DEFAULT
2023;2;18823;FLG;DEFAULT
2023;3;21029;FLG;DEFAULT
2023;4;22245;FLG;DEFAULT
2023;5;23780;FLG;DEFAULT
2023;6;24913;FLG;DEFAULT
2023;7;24979;FLG;DEFAULT
2023;8;13970;FLG;DEFAULT
2023;9;22797;FLG;DEFAULT
2023;10;19017;FLG;DEFAULT
2023;11;24511;FLG;DEFAULT
2023;12;23892;FLG;DEFAULT
2023;13;23794;FLG;DEFAULT
2023;14;25040;FLG;DEFAULT
2023;15;23869;FLG;DEFAULT
2023;16;24987;FLG;DEFAULT
2023;17;24086;FLG;DEFAULT
2023;18;19896;FLG;DEFAULT
2023;19;16073;FLG;DEFAULT
2023;20;22956;FLG;DEFAULT
2023;21;22752;FLG;DEFAULT
2023;22;21963;FLG;DEFAULT
2023;23;21128;FLG;DEFAULT
2023;24;17444;FLG;DEFAULT
2023;25;20509;FLG;DEFAULT
2023;26;19070;FLG;DEFAULT
2023;27;18422;FLG;DEFAULT
2023;28;17377;FLG;DEFAULT
2023;29;16315;FLG;DEFAULT
2023;30;16022;FLG;DEFAULT
2023;31;15453;FLG;DEFAULT
2023;32;15356;FLG;DEFAULT
2023;33;16525;FLG;DEFAULT
2023;34;17133;FLG;DEFAULT
2023;35;17528;FLG;DEFAULT
2023;36;17111;FLG;DEFAULT
2023;37;16406;FLG;DEFAULT
2023;38;12669;FLG;DEFAULT
2023;39;16807;FLG;DEFAULT
2023;40;16645;FLG;DEFAULT
2023;41;15505;FLG;DEFAULT
2023;42;17322;FLG;DEFAULT
2023;43;16694;FLG;DEFAULT
2023;44;16675;FLG;DEFAULT
2023;45;13751;FLG;DEFAULT
2023;46;16283;FLG;DEFAULT
2023;47;16578;FLG;DEFAULT
2023;48;14062;FLG;DEFAULT
2023;49;13192;FLG;DEFAULT
2023;50;11240;FLG;DEFAULT
2023;51;8533;FLG;DEFAULT
2023;52;5979;FLG;DEFAULT
2024;1;241;FLG;DEFAULT
2024;2;5394;FLG;DEFAULT
2024;3;6580;FLG;DEFAULT
2024;4;7591;FLG;DEFAULT
