year;week;manual_value;modality;type_modality
2021;52;5895;KT;DEFAULT
2022;1;6146;KT;DEFAULT
2022;2;10868;KT;DEFAULT
2022;3;12266;KT;DEFAULT
2022;4;12793;KT;DEFAULT
2022;5;13235;KT;DEFAULT
2022;6;11396;KT;DEFAULT
2022;7;8443;KT;DEFAULT
2022;8;5849;KT;DEFAULT
2022;9;5851;KT;DEFAULT
2022;10;4536;KT;DEFAULT
2022;11;5901;KT;DEFAULT
2022;12;6015;KT;DEFAULT
2022;13;5258;KT;DEFAULT
2022;14;5186;KT;DEFAULT
2022;15;4631;KT;DEFAULT
2022;16;4899;KT;DEFAULT
2022;17;4487;KT;DEFAULT
2022;18;3092;KT;DEFAULT
2022;19;3297;KT;DEFAULT
2022;20;4455;KT;DEFAULT
2022;21;4923;KT;DEFAULT
2022;22;4716;KT;DEFAULT
2022;23;4525;KT;DEFAULT
2022;24;3874;KT;DEFAULT
2022;25;4694;KT;DEFAULT
2022;26;4457;KT;DEFAULT
2022;27;4395;KT;DEFAULT
2022;28;4389;KT;DEFAULT
2022;29;3877;KT;DEFAULT
2022;30;3875;KT;DEFAULT
2022;31;3839;KT;DEFAULT
2022;32;3982;KT;DEFAULT
2022;33;3847;KT;DEFAULT
2022;34;4136;KT;DEFAULT
2022;35;4131;KT;DEFAULT
2022;36;4499;KT;DEFAULT
2022;37;4671;KT;DEFAULT
2022;38;4452;KT;DEFAULT
2022;39;4329;KT;DEFAULT
2022;40;4527;KT;DEFAULT
2022;41;4429;KT;DEFAULT
2022;42;4708;KT;DEFAULT
2022;43;4511;KT;DEFAULT
2022;44;4093;KT;DEFAULT
2022;45;5091;KT;DEFAULT
2022;46;5032;KT;DEFAULT
2022;47;4819;KT;DEFAULT
2022;48;5332;KT;DEFAULT
2022;49;5058;KT;DEFAULT
2022;50;4822;KT;DEFAULT
2022;51;4494;KT;DEFAULT
2022;52;4803;KT;DEFAULT
2023;1;887;KT;DEFAULT
2023;2;5108;KT;DEFAULT
2023;3;5006;KT;DEFAULT
2023;4;5006;KT;DEFAULT
2023;5;5006;KT;DEFAULT
2023;6;5014;KT;DEFAULT
2023;7;5021;KT;DEFAULT
2023;8;3381;KT;DEFAULT
2023;9;5377;KT;DEFAULT
2023;10;4691;KT;DEFAULT
2023;11;5481;KT;DEFAULT
2023;12;5302;KT;DEFAULT
2023;13;5344;KT;DEFAULT
2023;14;5570;KT;DEFAULT
2023;15;5163;KT;DEFAULT
2023;16;5263;KT;DEFAULT
2023;17;4898;KT;DEFAULT
2023;18;4375;KT;DEFAULT
2023;19;3812;KT;DEFAULT
2023;20;4848;KT;DEFAULT
2023;21;4989;KT;DEFAULT
2023;22;4877;KT;DEFAULT
2023;23;4786;KT;DEFAULT
2023;24;4301;KT;DEFAULT
2023;25;4737;KT;DEFAULT
2023;26;4780;KT;DEFAULT
2023;27;4092;KT;DEFAULT
2023;28;4028;KT;DEFAULT
2023;29;4021;KT;DEFAULT
2023;30;4125;KT;DEFAULT
2023;31;3227;KT;DEFAULT
2023;32;3225;KT;DEFAULT
2023;33;3076;KT;DEFAULT
2023;34;3102;KT;DEFAULT
2023;35;3572;KT;DEFAULT
2023;36;3835;KT;DEFAULT
2023;37;4038;KT;DEFAULT
2023;38;4535;KT;DEFAULT
2023;39;4465;KT;DEFAULT
2023;40;4610;KT;DEFAULT
2023;41;4847;KT;DEFAULT
2023;42;4948;KT;DEFAULT
2023;43;4938;KT;DEFAULT
2023;44;4783;KT;DEFAULT
2023;45;4835;KT;DEFAULT
2023;46;4847;KT;DEFAULT
2023;47;4490;KT;DEFAULT
2023;48;4473;KT;DEFAULT
2023;49;4293;KT;DEFAULT
2023;50;4764;KT;DEFAULT
2023;51;4087;KT;DEFAULT
2023;52;3313;KT;DEFAULT
2024;1;950;KT;DEFAULT
2024;2;3317;KT;DEFAULT
2024;3;3939;KT;DEFAULT
2024;4;4533;KT;DEFAULT
