year;week;manual_value;modality;type_modality
2021;52;0;KT;U
2022;1;43;KT;U
2022;2;424;KT;U
2022;3;430;KT;U
2022;4;336;KT;U
2022;5;302;KT;U
2022;6;312;KT;U
2022;7;295;KT;U
2022;8;265;KT;U
2022;9;476;KT;U
2022;10;295;KT;U
2022;11;515;KT;U
2022;12;560;KT;U
2022;13;524;KT;U
2022;14;524;KT;U
2022;15;532;KT;U
2022;16;611;KT;U
2022;17;596;KT;U
2022;18;339;KT;U
2022;19;368;KT;U
2022;20;606;KT;U
2022;21;599;KT;U
2022;22;624;KT;U
2022;23;645;KT;U
2022;24;575;KT;U
2022;25;665;KT;U
2022;26;641;KT;U
2022;27;558;KT;U
2022;28;559;KT;U
2022;29;443;KT;U
2022;30;441;KT;U
2022;31;470;KT;U
2022;32;477;KT;U
2022;33;475;KT;U
2022;34;480;KT;U
2022;35;444;KT;U
2022;36;413;KT;U
2022;37;478;KT;U
2022;38;503;KT;U
2022;39;490;KT;U
2022;40;539;KT;U
2022;41;513;KT;U
2022;42;513;KT;U
2022;43;565;KT;U
2022;44;494;KT;U
2022;45;651;KT;U
2022;46;647;KT;U
2022;47;586;KT;U
2022;48;610;KT;U
2022;49;612;KT;U
2022;50;683;KT;U
2022;51;633;KT;U
2022;52;625;KT;U
2023;1;94;KT;U
2023;2;667;KT;U
2023;3;702;KT;U
2023;4;666;KT;U
2023;5;658;KT;U
2023;6;681;KT;U
2023;7;731;KT;U
2023;8;436;KT;U
2023;9;649;KT;U
2023;10;587;KT;U
2023;11;719;KT;U
2023;12;689;KT;U
2023;13;738;KT;U
2023;14;695;KT;U
2023;15;672;KT;U
2023;16;657;KT;U
2023;17;640;KT;U
2023;18;566;KT;U
2023;19;435;KT;U
2023;20;741;KT;U
2023;21;757;KT;U
2023;22;692;KT;U
2023;23;712;KT;U
2023;24;607;KT;U
2023;25;733;KT;U
2023;26;683;KT;U
2023;27;692;KT;U
2023;28;586;KT;U
2023;29;572;KT;U
2023;30;621;KT;U
2023;31;537;KT;U
2023;32;501;KT;U
2023;33;438;KT;U
2023;34;510;KT;U
2023;35;495;KT;U
2023;36;521;KT;U
2023;37;495;KT;U
2023;38;522;KT;U
2023;39;567;KT;U
2023;40;642;KT;U
2023;41;701;KT;U
2023;42;667;KT;U
2023;43;646;KT;U
2023;44;686;KT;U
2023;45;578;KT;U
2023;46;614;KT;U
2023;47;615;KT;U
2023;48;650;KT;U
2023;49;658;KT;U
2023;50;701;KT;U
2023;51;473;KT;U
2023;52;491;KT;U
2024;1;70;KT;U
2024;2;431;KT;U
2024;3;563;KT;U
2024;4;533;KT;U
