year;week;manual_value;modality;type_modality
2021;52;0;KT;U2
2022;1;100;KT;U2
2022;2;451;KT;U2
2022;3;490;KT;U2
2022;4;471;KT;U2
2022;5;446;KT;U2
2022;6;506;KT;U2
2022;7;514;KT;U2
2022;8;541;KT;U2
2022;9;669;KT;U2
2022;10;431;KT;U2
2022;11;715;KT;U2
2022;12;767;KT;U2
2022;13;774;KT;U2
2022;14;767;KT;U2
2022;15;793;KT;U2
2022;16;733;KT;U2
2022;17;700;KT;U2
2022;18;437;KT;U2
2022;19;441;KT;U2
2022;20;590;KT;U2
2022;21;674;KT;U2
2022;22;659;KT;U2
2022;23;724;KT;U2
2022;24;629;KT;U2
2022;25;738;KT;U2
2022;26;600;KT;U2
2022;27;651;KT;U2
2022;28;559;KT;U2
2022;29;524;KT;U2
2022;30;463;KT;U2
2022;31;505;KT;U2
2022;32;481;KT;U2
2022;33;491;KT;U2
2022;34;476;KT;U2
2022;35;456;KT;U2
2022;36;506;KT;U2
2022;37;477;KT;U2
2022;38;499;KT;U2
2022;39;538;KT;U2
2022;40;553;KT;U2
2022;41;535;KT;U2
2022;42;603;KT;U2
2022;43;628;KT;U2
2022;44;506;KT;U2
2022;45;607;KT;U2
2022;46;623;KT;U2
2022;47;502;KT;U2
2022;48;625;KT;U2
2022;49;631;KT;U2
2022;50;616;KT;U2
2022;51;515;KT;U2
2022;52;550;KT;U2
2023;1;59;KT;U2
2023;2;564;KT;U2
2023;3;582;KT;U2
2023;4;602;KT;U2
2023;5;590;KT;U2
2023;6;621;KT;U2
2023;7;578;KT;U2
2023;8;451;KT;U2
2023;9;660;KT;U2
2023;10;528;KT;U2
2023;11;704;KT;U2
2023;12;713;KT;U2
2023;13;748;KT;U2
2023;14;654;KT;U2
2023;15;601;KT;U2
2023;16;801;KT;U2
2023;17;785;KT;U2
2023;18;614;KT;U2
2023;19;489;KT;U2
2023;20;788;KT;U2
2023;21;755;KT;U2
2023;22;785;KT;U2
2023;23;801;KT;U2
2023;24;669;KT;U2
2023;25;914;KT;U2
2023;26;825;KT;U2
2023;27;781;KT;U2
2023;28;654;KT;U2
2023;29;771;KT;U2
2023;30;765;KT;U2
2023;31;717;KT;U2
2023;32;625;KT;U2
2023;33;594;KT;U2
2023;34;591;KT;U2
2023;35;634;KT;U2
2023;36;679;KT;U2
2023;37;670;KT;U2
2023;38;709;KT;U2
2023;39;744;KT;U2
2023;40;821;KT;U2
2023;41;873;KT;U2
2023;42;788;KT;U2
2023;43;903;KT;U2
2023;44;907;KT;U2
2023;45;800;KT;U2
2023;46;784;KT;U2
2023;47;800;KT;U2
2023;48;743;KT;U2
2023;49;782;KT;U2
2023;50;765;KT;U2
2023;51;523;KT;U2
2023;52;476;KT;U2
2024;1;73;KT;U2
2024;2;369;KT;U2
2024;3;518;KT;U2
2024;4;566;KT;U2
