year;week;manual_value;modality;type_modality
2021;52;22;MMG;DEFAULT
2022;1;483;MMG;DEFAULT
2022;2;9567;MMG;DEFAULT
2022;3;8791;MMG;DEFAULT
2022;4;7465;MMG;DEFAULT
2022;5;6124;MMG;DEFAULT
2022;6;6623;MMG;DEFAULT
2022;7;7775;MMG;DEFAULT
2022;8;7706;MMG;DEFAULT
2022;9;11323;MMG;DEFAULT
2022;10;7352;MMG;DEFAULT
2022;11;11553;MMG;DEFAULT
2022;12;12460;MMG;DEFAULT
2022;13;11992;MMG;DEFAULT
2022;14;12212;MMG;DEFAULT
2022;15;13190;MMG;DEFAULT
2022;16;12332;MMG;DEFAULT
2022;17;12401;MMG;DEFAULT
2022;18;7741;MMG;DEFAULT
2022;19;7712;MMG;DEFAULT
2022;20;12564;MMG;DEFAULT
2022;21;13005;MMG;DEFAULT
2022;22;13916;MMG;DEFAULT
2022;23;13853;MMG;DEFAULT
2022;24;11514;MMG;DEFAULT
2022;25;12867;MMG;DEFAULT
2022;26;12016;MMG;DEFAULT
2022;27;12108;MMG;DEFAULT
2022;28;11644;MMG;DEFAULT
2022;29;11238;MMG;DEFAULT
2022;30;11297;MMG;DEFAULT
2022;31;11895;MMG;DEFAULT
2022;32;12250;MMG;DEFAULT
2022;33;12297;MMG;DEFAULT
2022;34;12199;MMG;DEFAULT
2022;35;12446;MMG;DEFAULT
2022;36;12262;MMG;DEFAULT
2022;37;12730;MMG;DEFAULT
2022;38;13203;MMG;DEFAULT
2022;39;12206;MMG;DEFAULT
2022;40;13509;MMG;DEFAULT
2022;41;14145;MMG;DEFAULT
2022;42;14159;MMG;DEFAULT
2022;43;14690;MMG;DEFAULT
2022;44;12315;MMG;DEFAULT
2022;45;15460;MMG;DEFAULT
2022;46;15317;MMG;DEFAULT
2022;47;14697;MMG;DEFAULT
2022;48;14350;MMG;DEFAULT
2022;49;14039;MMG;DEFAULT
2022;50;13059;MMG;DEFAULT
2022;51;12509;MMG;DEFAULT
2022;52;9937;MMG;DEFAULT
2023;1;858;MMG;DEFAULT
2023;2;12088;MMG;DEFAULT
2023;3;13581;MMG;DEFAULT
2023;4;14749;MMG;DEFAULT
2023;5;14939;MMG;DEFAULT
2023;6;15458;MMG;DEFAULT
2023;7;16532;MMG;DEFAULT
2023;8;10792;MMG;DEFAULT
2023;9;17505;MMG;DEFAULT
2023;10;13880;MMG;DEFAULT
2023;11;18121;MMG;DEFAULT
2023;12;18530;MMG;DEFAULT
2023;13;19053;MMG;DEFAULT
2023;14;19276;MMG;DEFAULT
2023;15;18322;MMG;DEFAULT
2023;16;18971;MMG;DEFAULT
2023;17;18585;MMG;DEFAULT
2023;18;15762;MMG;DEFAULT
2023;19;13378;MMG;DEFAULT
2023;20;19710;MMG;DEFAULT
2023;21;19812;MMG;DEFAULT
2023;22;20064;MMG;DEFAULT
2023;23;19248;MMG;DEFAULT
2023;24;16114;MMG;DEFAULT
2023;25;18021;MMG;DEFAULT
2023;26;17448;MMG;DEFAULT
2023;27;16853;MMG;DEFAULT
2023;28;16214;MMG;DEFAULT
2023;29;15220;MMG;DEFAULT
2023;30;15390;MMG;DEFAULT
2023;31;14380;MMG;DEFAULT
2023;32;15513;MMG;DEFAULT
2023;33;15969;MMG;DEFAULT
2023;34;16546;MMG;DEFAULT
2023;35;17260;MMG;DEFAULT
2023;36;16384;MMG;DEFAULT
2023;37;17013;MMG;DEFAULT
2023;38;13292;MMG;DEFAULT
2023;39;18131;MMG;DEFAULT
2023;40;18510;MMG;DEFAULT
2023;41;18855;MMG;DEFAULT
2023;42;19398;MMG;DEFAULT
2023;43;19975;MMG;DEFAULT
2023;44;19885;MMG;DEFAULT
2023;45;17952;MMG;DEFAULT
2023;46;21204;MMG;DEFAULT
2023;47;20680;MMG;DEFAULT
2023;48;20097;MMG;DEFAULT
2023;49;18940;MMG;DEFAULT
2023;50;18092;MMG;DEFAULT
2023;51;16615;MMG;DEFAULT
2023;52;14856;MMG;DEFAULT
2024;1;1185;MMG;DEFAULT
2024;2;13964;MMG;DEFAULT
2024;3;17769;MMG;DEFAULT
2024;4;18770;MMG;DEFAULT
