year;week;manual_value;modality;type_modality
2021;52;8;MRT;DEFAULT
2022;1;415;MRT;DEFAULT
2022;2;2156;MRT;DEFAULT
2022;3;2162;MRT;DEFAULT
2022;4;2066;MRT;DEFAULT
2022;5;1900;MRT;DEFAULT
2022;6;1952;MRT;DEFAULT
2022;7;2135;MRT;DEFAULT
2022;8;2023;MRT;DEFAULT
2022;9;2318;MRT;DEFAULT
2022;10;1602;MRT;DEFAULT
2022;11;2272;MRT;DEFAULT
2022;12;2382;MRT;DEFAULT
2022;13;2417;MRT;DEFAULT
2022;14;2411;MRT;DEFAULT
2022;15;2423;MRT;DEFAULT
2022;16;2384;MRT;DEFAULT
2022;17;2094;MRT;DEFAULT
2022;18;1626;MRT;DEFAULT
2022;19;1829;MRT;DEFAULT
2022;20;2549;MRT;DEFAULT
2022;21;2401;MRT;DEFAULT
2022;22;2398;MRT;DEFAULT
2022;23;2135;MRT;DEFAULT
2022;24;2020;MRT;DEFAULT
2022;25;2167;MRT;DEFAULT
2022;26;2124;MRT;DEFAULT
2022;27;2163;MRT;DEFAULT
2022;28;2089;MRT;DEFAULT
2022;29;1853;MRT;DEFAULT
2022;30;1621;MRT;DEFAULT
2022;31;1762;MRT;DEFAULT
2022;32;1754;MRT;DEFAULT
2022;33;1728;MRT;DEFAULT
2022;34;1820;MRT;DEFAULT
2022;35;1798;MRT;DEFAULT
2022;36;1824;MRT;DEFAULT
2022;37;1913;MRT;DEFAULT
2022;38;1942;MRT;DEFAULT
2022;39;1864;MRT;DEFAULT
2022;40;2071;MRT;DEFAULT
2022;41;2088;MRT;DEFAULT
2022;42;2242;MRT;DEFAULT
2022;43;2157;MRT;DEFAULT
2022;44;1909;MRT;DEFAULT
2022;45;2152;MRT;DEFAULT
2022;46;2273;MRT;DEFAULT
2022;47;2113;MRT;DEFAULT
2022;48;2238;MRT;DEFAULT
2022;49;2127;MRT;DEFAULT
2022;50;2091;MRT;DEFAULT
2022;51;2076;MRT;DEFAULT
2022;52;1413;MRT;DEFAULT
2023;1;486;MRT;DEFAULT
2023;2;1995;MRT;DEFAULT
2023;3;2113;MRT;DEFAULT
2023;4;2059;MRT;DEFAULT
2023;5;2049;MRT;DEFAULT
2023;6;2025;MRT;DEFAULT
2023;7;2090;MRT;DEFAULT
2023;8;1624;MRT;DEFAULT
2023;9;2036;MRT;DEFAULT
2023;10;1882;MRT;DEFAULT
2023;11;2134;MRT;DEFAULT
2023;12;2152;MRT;DEFAULT
2023;13;2023;MRT;DEFAULT
2023;14;1907;MRT;DEFAULT
2023;15;1918;MRT;DEFAULT
2023;16;2175;MRT;DEFAULT
2023;17;1987;MRT;DEFAULT
2023;18;1766;MRT;DEFAULT
2023;19;1650;MRT;DEFAULT
2023;20;2014;MRT;DEFAULT
2023;21;2121;MRT;DEFAULT
2023;22;2095;MRT;DEFAULT
2023;23;2000;MRT;DEFAULT
2023;24;2014;MRT;DEFAULT
2023;25;2221;MRT;DEFAULT
2023;26;2182;MRT;DEFAULT
2023;27;2056;MRT;DEFAULT
2023;28;2061;MRT;DEFAULT
2023;29;1997;MRT;DEFAULT
2023;30;2033;MRT;DEFAULT
2023;31;1872;MRT;DEFAULT
2023;32;1532;MRT;DEFAULT
2023;33;1762;MRT;DEFAULT
2023;34;1678;MRT;DEFAULT
2023;35;1668;MRT;DEFAULT
2023;36;1758;MRT;DEFAULT
2023;37;1680;MRT;DEFAULT
2023;38;1713;MRT;DEFAULT
2023;39;1783;MRT;DEFAULT
2023;40;2168;MRT;DEFAULT
2023;41;2214;MRT;DEFAULT
2023;42;2360;MRT;DEFAULT
2023;43;2378;MRT;DEFAULT
2023;44;2223;MRT;DEFAULT
2023;45;2321;MRT;DEFAULT
2023;46;2366;MRT;DEFAULT
2023;47;2256;MRT;DEFAULT
2023;48;2266;MRT;DEFAULT
2023;49;2367;MRT;DEFAULT
2023;50;2098;MRT;DEFAULT
2023;51;1681;MRT;DEFAULT
2023;52;1327;MRT;DEFAULT
2024;1;544;MRT;DEFAULT
2024;2;1461;MRT;DEFAULT
2024;3;1712;MRT;DEFAULT
2024;4;1878;MRT;DEFAULT
