year;week;manual_value;modality;type_modality
2021;52;0;MRT;U
2022;1;169;MRT;U
2022;2;669;MRT;U
2022;3;710;MRT;U
2022;4;667;MRT;U
2022;5;609;MRT;U
2022;6;643;MRT;U
2022;7;688;MRT;U
2022;8;683;MRT;U
2022;9;852;MRT;U
2022;10;619;MRT;U
2022;11;853;MRT;U
2022;12;935;MRT;U
2022;13;985;MRT;U
2022;14;948;MRT;U
2022;15;943;MRT;U
2022;16;924;MRT;U
2022;17;885;MRT;U
2022;18;612;MRT;U
2022;19;577;MRT;U
2022;20;800;MRT;U
2022;21;897;MRT;U
2022;22;885;MRT;U
2022;23;909;MRT;U
2022;24;792;MRT;U
2022;25;905;MRT;U
2022;26;825;MRT;U
2022;27;806;MRT;U
2022;28;790;MRT;U
2022;29;621;MRT;U
2022;30;664;MRT;U
2022;31;660;MRT;U
2022;32;679;MRT;U
2022;33;706;MRT;U
2022;34;718;MRT;U
2022;35;786;MRT;U
2022;36;740;MRT;U
2022;37;738;MRT;U
2022;38;678;MRT;U
2022;39;697;MRT;U
2022;40;753;MRT;U
2022;41;759;MRT;U
2022;42;781;MRT;U
2022;43;847;MRT;U
2022;44;777;MRT;U
2022;45;836;MRT;U
2022;46;913;MRT;U
2022;47;866;MRT;U
2022;48;810;MRT;U
2022;49;866;MRT;U
2022;50;820;MRT;U
2022;51;875;MRT;U
2022;52;761;MRT;U
2023;1;139;MRT;U
2023;2;817;MRT;U
2023;3;885;MRT;U
2023;4;906;MRT;U
2023;5;928;MRT;U
2023;6;837;MRT;U
2023;7;937;MRT;U
2023;8;643;MRT;U
2023;9;926;MRT;U
2023;10;876;MRT;U
2023;11;985;MRT;U
2023;12;900;MRT;U
2023;13;796;MRT;U
2023;14;836;MRT;U
2023;15;802;MRT;U
2023;16;904;MRT;U
2023;17;929;MRT;U
2023;18;792;MRT;U
2023;19;590;MRT;U
2023;20;870;MRT;U
2023;21;878;MRT;U
2023;22;955;MRT;U
2023;23;940;MRT;U
2023;24;789;MRT;U
2023;25;939;MRT;U
2023;26;924;MRT;U
2023;27;956;MRT;U
2023;28;922;MRT;U
2023;29;960;MRT;U
2023;30;984;MRT;U
2023;31;855;MRT;U
2023;32;690;MRT;U
2023;33;751;MRT;U
2023;34;792;MRT;U
2023;35;752;MRT;U
2023;36;786;MRT;U
2023;37;790;MRT;U
2023;38;762;MRT;U
2023;39;780;MRT;U
2023;40;889;MRT;U
2023;41;893;MRT;U
2023;42;889;MRT;U
2023;43;967;MRT;U
2023;44;936;MRT;U
2023;45;853;MRT;U
2023;46;962;MRT;U
2023;47;906;MRT;U
2023;48;889;MRT;U
2023;49;933;MRT;U
2023;50;995;MRT;U
2023;51;863;MRT;U
2023;52;715;MRT;U
2024;1;131;MRT;U
2024;2;593;MRT;U
2024;3;809;MRT;U
2024;4;755;MRT;U
