year;week;manual_value;modality;type_modality
2021;52;2459;RG;DEFAULT
2022;1;12450;RG;DEFAULT
2022;2;48904;RG;DEFAULT
2022;3;47364;RG;DEFAULT
2022;4;40234;RG;DEFAULT
2022;5;36502;RG;DEFAULT
2022;6;38752;RG;DEFAULT
2022;7;41694;RG;DEFAULT
2022;8;37030;RG;DEFAULT
2022;9;51042;RG;DEFAULT
2022;10;34205;RG;DEFAULT
2022;11;49459;RG;DEFAULT
2022;12;50318;RG;DEFAULT
2022;13;50840;RG;DEFAULT
2022;14;50735;RG;DEFAULT
2022;15;51049;RG;DEFAULT
2022;16;52467;RG;DEFAULT
2022;17;50926;RG;DEFAULT
2022;18;35032;RG;DEFAULT
2022;19;36898;RG;DEFAULT
2022;20;49762;RG;DEFAULT
2022;21;49537;RG;DEFAULT
2022;22;51298;RG;DEFAULT
2022;23;50765;RG;DEFAULT
2022;24;43269;RG;DEFAULT
2022;25;49610;RG;DEFAULT
2022;26;47244;RG;DEFAULT
2022;27;45602;RG;DEFAULT
2022;28;44692;RG;DEFAULT
2022;29;42179;RG;DEFAULT
2022;30;41797;RG;DEFAULT
2022;31;43325;RG;DEFAULT
2022;32;44939;RG;DEFAULT
2022;33;45428;RG;DEFAULT
2022;34;46641;RG;DEFAULT
2022;35;46749;RG;DEFAULT
2022;36;46779;RG;DEFAULT
2022;37;48811;RG;DEFAULT
2022;38;50648;RG;DEFAULT
2022;39;51754;RG;DEFAULT
2022;40;56081;RG;DEFAULT
2022;41;58698;RG;DEFAULT
2022;42;56580;RG;DEFAULT
2022;43;55710;RG;DEFAULT
2022;44;48445;RG;DEFAULT
2022;45;59626;RG;DEFAULT
2022;46;60199;RG;DEFAULT
2022;47;59891;RG;DEFAULT
2022;48;58591;RG;DEFAULT
2022;49;60269;RG;DEFAULT
2022;50;61993;RG;DEFAULT
2022;51;59045;RG;DEFAULT
2022;52;53848;RG;DEFAULT
2023;1;17919;RG;DEFAULT
2023;2;63320;RG;DEFAULT
2023;3;64399;RG;DEFAULT
2023;4;66823;RG;DEFAULT
2023;5;66227;RG;DEFAULT
2023;6;67630;RG;DEFAULT
2023;7;67842;RG;DEFAULT
2023;8;47139;RG;DEFAULT
2023;9;70602;RG;DEFAULT
2023;10;58905;RG;DEFAULT
2023;11;71813;RG;DEFAULT
2023;12;68710;RG;DEFAULT
2023;13;68242;RG;DEFAULT
2023;14;69610;RG;DEFAULT
2023;15;67309;RG;DEFAULT
2023;16;68812;RG;DEFAULT
2023;17;66709;RG;DEFAULT
2023;18;57542;RG;DEFAULT
2023;19;51345;RG;DEFAULT
2023;20;69385;RG;DEFAULT
2023;21;67907;RG;DEFAULT
2023;22;66736;RG;DEFAULT
2023;23;66782;RG;DEFAULT
2023;24;58669;RG;DEFAULT
2023;25;64272;RG;DEFAULT
2023;26;62669;RG;DEFAULT
2023;27;60799;RG;DEFAULT
2023;28;57980;RG;DEFAULT
2023;29;55189;RG;DEFAULT
2023;30;55895;RG;DEFAULT
2023;31;55461;RG;DEFAULT
2023;32;57958;RG;DEFAULT
2023;33;60121;RG;DEFAULT
2023;34;62771;RG;DEFAULT
2023;35;65026;RG;DEFAULT
2023;36;65924;RG;DEFAULT
2023;37;70998;RG;DEFAULT
2023;38;57632;RG;DEFAULT
2023;39;75766;RG;DEFAULT
2023;40;75385;RG;DEFAULT
2023;41;77244;RG;DEFAULT
2023;42;80582;RG;DEFAULT
2023;43;81841;RG;DEFAULT
2023;44;77787;RG;DEFAULT
2023;45;75167;RG;DEFAULT
2023;46;86118;RG;DEFAULT
2023;47;84809;RG;DEFAULT
2023;48;85952;RG;DEFAULT
2023;49;89244;RG;DEFAULT
2023;50;89340;RG;DEFAULT
2023;51;90770;RG;DEFAULT
2023;52;81751;RG;DEFAULT
2024;1;16148;RG;DEFAULT
2024;2;80644;RG;DEFAULT
2024;3;98705;RG;DEFAULT
2024;4;99858;RG;DEFAULT
